Company,Theme,Level,Level Name,Use Case,Status,Capability to implement to others,Solution Name,Solution Description,Function in Solution,In-house / Vendor development,Folder_URL
TMT,Digitized Workplace,2,Digital Base – Data Collection,Digital Kanban,Green,Yes,TMT Digital Kanban Platform,Provides end-to-end visibility and Digital Base – Data Collection capabilities for TMT operations.,Automated Digitized Workplace monitoring for Digital Kanban,In-house,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L2%20-%20Digitized%20Workplace?csf=1&web=1&e=7CQMPN
TMT,Agile & Optimize Supply Operation,5,Fully Transparent and Proactive Communication,Demand Forecast Planning & Scheduling (Agentic AI enabled),Red,No,TMT Demand Forecast Planning & Scheduling (Agentic AI enabled) Platform,Provides end-to-end visibility and Fully Transparent and Proactive Communication capabilities for TMT operations.,Automated Agile & Optimize Supply Operation monitoring for Demand Forecast Planning & Scheduling (Agentic AI enabled),Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L5%20-%20Agile%20%26%20Optimize%20Supply%20Operation?csf=1&web=1&e=G5yoiU
TMT,Agile & Optimize Supply Operation,5,Fully Transparent and Proactive Communication,Supply chain nerve center,Red,Yes,TMT Supply chain nerve center Platform,Provides end-to-end visibility and Fully Transparent and Proactive Communication capabilities for TMT operations.,Automated Agile & Optimize Supply Operation monitoring for Supply chain nerve center,In-house,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L5%20-%20Agile%20%26%20Optimize%20Supply%20Operation?csf=1&web=1&e=G5yoiU
TMT,Agile & Optimize Supply Operation,4,Predictive Connectivity,E2E Logistics Control Tower (Parts & Vehicle Exports),Red,Yes,TMT E2E Logistics Control Tower (Parts & Vehicle Exports) Platform,Provides end-to-end visibility and Predictive Connectivity capabilities for TMT operations.,Automated Agile & Optimize Supply Operation monitoring for E2E Logistics Control Tower (Parts & Vehicle Exports),In-house,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L4%20-%20Agile%20%26%20Optimize%20Supply%20Operation?csf=1&web=1&e=ZDMu0x
TMT,Agile & Optimize Supply Operation,4,Predictive Connectivity,Predictive Delay Alerts,Red,Yes,TMT Predictive Delay Alerts Platform,Provides end-to-end visibility and Predictive Connectivity capabilities for TMT operations.,Automated Agile & Optimize Supply Operation monitoring for Predictive Delay Alerts,Vendor,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L4%20-%20Agile%20%26%20Optimize%20Supply%20Operation?csf=1&web=1&e=ZDMu0x
TMT,Agile & Optimize Supply Operation,4,Predictive Connectivity,Supplier collaboration systems,Red,Yes,TMT Supplier collaboration systems Platform,Provides end-to-end visibility and Predictive Connectivity capabilities for TMT operations.,Automated Agile & Optimize Supply Operation monitoring for Supplier collaboration systems,Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L4%20-%20Agile%20%26%20Optimize%20Supply%20Operation?csf=1&web=1&e=ZDMu0x
TMT,Agile & Optimize Supply Operation,4,Predictive Connectivity,Import Part Buffer Stock Optimization,Red,Yes,TMT Import Part Buffer Stock Optimization Platform,Provides end-to-end visibility and Predictive Connectivity capabilities for TMT operations.,Automated Agile & Optimize Supply Operation monitoring for Import Part Buffer Stock Optimization,Vendor,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L4%20-%20Agile%20%26%20Optimize%20Supply%20Operation?csf=1&web=1&e=ZDMu0x
TMT,Agile & Optimize Supply Operation,4,Predictive Connectivity,Production Allocation & Scheduling Optimization,Red,No,TMT Production Allocation & Scheduling Optimization Platform,Provides end-to-end visibility and Predictive Connectivity capabilities for TMT operations.,Automated Agile & Optimize Supply Operation monitoring for Production Allocation & Scheduling Optimization,Vendor,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L4%20-%20Agile%20%26%20Optimize%20Supply%20Operation?csf=1&web=1&e=ZDMu0x
TMT,Agile & Optimize Supply Operation,3,Expanded Visibility (End to End),Inventory & Production Planning Optimization,Green,Yes,TMT Inventory & Production Planning Optimization Platform,Provides end-to-end visibility and Expanded Visibility (End to End) capabilities for TMT operations.,Automated Agile & Optimize Supply Operation monitoring for Inventory & Production Planning Optimization,Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L3%20-%20Agile%20%26%20Optimize%20Supply%20Operation?csf=1&web=1&e=b5eohp
TMT,Agile & Optimize Supply Operation,3,Expanded Visibility (End to End),Customer Order‑to‑Delivery Tracking,Yellow,Yes,TMT Customer Order‑to‑Delivery Tracking Platform,Provides end-to-end visibility and Expanded Visibility (End to End) capabilities for TMT operations.,Automated Agile & Optimize Supply Operation monitoring for Customer Order‑to‑Delivery Tracking,In-house,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L3%20-%20Agile%20%26%20Optimize%20Supply%20Operation?csf=1&web=1&e=b5eohp
TMT,Agile & Optimize Supply Operation,2,Siloed System & Tracking,MSP Data Centralized & Visualization,Green,Yes,TMT MSP Data Centralized & Visualization Platform,Provides end-to-end visibility and Siloed System & Tracking capabilities for TMT operations.,Automated Agile & Optimize Supply Operation monitoring for MSP Data Centralized & Visualization,Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L2%20-%20Agile%20%26%20Optimize%20Supply%20Operation?csf=1&web=1&e=bbbaeH
TMT,Agile & Optimize Supply Operation,2,Siloed System & Tracking,Import/Local Parts inventory tracking & management (Smart Part visualization),Green,Yes,TMT Import/Local Parts inventory tracking & management (Smart Part visualization) Platform,Provides end-to-end visibility and Siloed System & Tracking capabilities for TMT operations.,Automated Agile & Optimize Supply Operation monitoring for Import/Local Parts inventory tracking & management (Smart Part visualization),Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L2%20-%20Agile%20%26%20Optimize%20Supply%20Operation?csf=1&web=1&e=bbbaeH
TMT,Agile & Optimize Supply Operation,2,Siloed System & Tracking,Parts & Vehicle Delivery Log Sheets,Green,No,TMT Parts & Vehicle Delivery Log Sheets Platform,Provides end-to-end visibility and Siloed System & Tracking capabilities for TMT operations.,Automated Agile & Optimize Supply Operation monitoring for Parts & Vehicle Delivery Log Sheets,Vendor,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L2%20-%20Agile%20%26%20Optimize%20Supply%20Operation?csf=1&web=1&e=bbbaeH
TMT,Agile & Optimize Supply Operation,2,Siloed System & Tracking,Digital Shipment Logging,Green,No,TMT Digital Shipment Logging Platform,Provides end-to-end visibility and Siloed System & Tracking capabilities for TMT operations.,Automated Agile & Optimize Supply Operation monitoring for Digital Shipment Logging,Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L2%20-%20Agile%20%26%20Optimize%20Supply%20Operation?csf=1&web=1&e=bbbaeH
TMT,Agile & Optimize Supply Operation,2,Siloed System & Tracking,Logistics Planning & Tracking,Yellow,Yes,TMT Logistics Planning & Tracking Platform,Provides end-to-end visibility and Siloed System & Tracking capabilities for TMT operations.,Automated Agile & Optimize Supply Operation monitoring for Logistics Planning & Tracking,Vendor,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L2%20-%20Agile%20%26%20Optimize%20Supply%20Operation?csf=1&web=1&e=bbbaeH
TMMIN,Production EQ Maintenance,5,Autonomous Jiritsuka MTN,Digital Twin Simulation,Red,Yes,TMMIN Digital Twin Simulation Platform,Provides end-to-end visibility and Autonomous Jiritsuka MTN capabilities for TMMIN operations.,Automated Production EQ Maintenance monitoring for Digital Twin Simulation,Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L5%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=EbQpSv
TMMIN,Production EQ Maintenance,5,Autonomous Jiritsuka MTN,Digital PMRS + AI Agentic,Red,Yes,TMMIN Digital PMRS + AI Agentic Platform,Provides end-to-end visibility and Autonomous Jiritsuka MTN capabilities for TMMIN operations.,Automated Production EQ Maintenance monitoring for Digital PMRS + AI Agentic,Vendor,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L5%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=EbQpSv
TMMIN,Production EQ Maintenance,5,Autonomous Jiritsuka MTN,Autonomous Planning,Red,Yes,TMMIN Autonomous Planning Platform,Provides end-to-end visibility and Autonomous Jiritsuka MTN capabilities for TMMIN operations.,Automated Production EQ Maintenance monitoring for Autonomous Planning,In-house,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L5%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=EbQpSv
TMMIN,Production EQ Maintenance,5,Autonomous Jiritsuka MTN,AI Fault Diagnosis Assistant,Red,Yes,TMMIN AI Fault Diagnosis Assistant Platform,Provides end-to-end visibility and Autonomous Jiritsuka MTN capabilities for TMMIN operations.,Automated Production EQ Maintenance monitoring for AI Fault Diagnosis Assistant,Vendor,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L5%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=EbQpSv
TMMIN,Production EQ Maintenance,5,Autonomous Jiritsuka MTN,VR Maintenance Training,Yellow,Yes,TMMIN VR Maintenance Training Platform,Provides end-to-end visibility and Autonomous Jiritsuka MTN capabilities for TMMIN operations.,Automated Production EQ Maintenance monitoring for VR Maintenance Training,Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L5%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=EbQpSv
TMMIN,Production EQ Maintenance,4,Predictive Maintenance,Digital PMRS + Predictive Layer,Red,Yes,TMMIN Digital PMRS + Predictive Layer Platform,Provides end-to-end visibility and Predictive Maintenance capabilities for TMMIN operations.,Automated Production EQ Maintenance monitoring for Digital PMRS + Predictive Layer,In-house,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L4%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=YnU9AE
TMMIN,Production EQ Maintenance,4,Predictive Maintenance,Spare Part Usage Prediction (AI),Yellow,Yes,TMMIN Spare Part Usage Prediction (AI) Platform,Provides end-to-end visibility and Predictive Maintenance capabilities for TMMIN operations.,Automated Production EQ Maintenance monitoring for Spare Part Usage Prediction (AI),Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L4%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=YnU9AE
TMMIN,Production EQ Maintenance,4,Predictive Maintenance,Spare Part Reorder Alert Prediction,Red,Yes,TMMIN Spare Part Reorder Alert Prediction Platform,Provides end-to-end visibility and Predictive Maintenance capabilities for TMMIN operations.,Automated Production EQ Maintenance monitoring for Spare Part Reorder Alert Prediction,In-house,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L4%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=YnU9AE
TMMIN,Production EQ Maintenance,3,Condition-based MTN,Digital PMRS,Red,Yes,TMMIN Digital PMRS Platform,Provides end-to-end visibility and Condition-based MTN capabilities for TMMIN operations.,Automated Production EQ Maintenance monitoring for Digital PMRS,Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L3%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=cnsOHP
TMMIN,Production EQ Maintenance,3,Condition-based MTN,M/C Data Monitoring,Green,Yes,TMMIN M/C Data Monitoring Platform,Provides end-to-end visibility and Condition-based MTN capabilities for TMMIN operations.,Automated Production EQ Maintenance monitoring for M/C Data Monitoring,Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L3%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=cnsOHP
TMMIN,Production EQ Maintenance,3,Condition-based MTN,PM Method Optimization,Yellow,Yes,TMMIN PM Method Optimization Platform,Provides end-to-end visibility and Condition-based MTN capabilities for TMMIN operations.,Automated Production EQ Maintenance monitoring for PM Method Optimization,In-house,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L3%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=cnsOHP
TMMIN,Production EQ Maintenance,3,Condition-based MTN,RCA Board,Red,Yes,TMMIN RCA Board Platform,Provides end-to-end visibility and Condition-based MTN capabilities for TMMIN operations.,Automated Production EQ Maintenance monitoring for RCA Board,Vendor,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L3%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=cnsOHP
TMMIN,Production EQ Maintenance,3,Condition-based MTN,PM Kanban,Yellow,Yes,TMMIN PM Kanban Platform,Provides end-to-end visibility and Condition-based MTN capabilities for TMMIN operations.,Automated Production EQ Maintenance monitoring for PM Kanban,Vendor,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L3%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=cnsOHP
TMMIN,Production EQ Maintenance,3,Condition-based MTN,AR Maintenance Training,Yellow,Yes,TMMIN AR Maintenance Training Platform,Provides end-to-end visibility and Condition-based MTN capabilities for TMMIN operations.,Automated Production EQ Maintenance monitoring for AR Maintenance Training,Vendor,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L3%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=cnsOHP
TMMIN,Production EQ Maintenance,3,Condition-based MTN,Spare Parts Inventory Management,Red,No,TMMIN Spare Parts Inventory Management Platform,Provides end-to-end visibility and Condition-based MTN capabilities for TMMIN operations.,Automated Production EQ Maintenance monitoring for Spare Parts Inventory Management,Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L3%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=cnsOHP
TMMIN,Production EQ Maintenance,3,Condition-based MTN,Maintenance Control Center,Yellow,Yes,TMMIN Maintenance Control Center Platform,Provides end-to-end visibility and Condition-based MTN capabilities for TMMIN operations.,Automated Production EQ Maintenance monitoring for Maintenance Control Center,Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L3%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=cnsOHP
TMMIN,Production EQ Maintenance,2,Standardized PMRS,Assignment Board,Green,Yes,TMMIN Assignment Board Platform,Provides end-to-end visibility and Standardized PMRS capabilities for TMMIN operations.,Automated Production EQ Maintenance monitoring for Assignment Board,In-house,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L2%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=pnFGPN
TMMIN,Production EQ Maintenance,2,Standardized PMRS,Standardized Skill Matrix,Yellow,Yes,TMMIN Standardized Skill Matrix Platform,Provides end-to-end visibility and Standardized PMRS capabilities for TMMIN operations.,Automated Production EQ Maintenance monitoring for Standardized Skill Matrix,In-house,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L2%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=pnFGPN
TMMIN,Quality Reform,5,Establish NDC involving Design/PE (Digital Transformation),Prescriptive problem analysis with auto generate & reflect to Design/PE,Yellow,Yes,TMMIN Prescriptive problem analysis with auto generate & reflect to Design/PE Platform,Provides end-to-end visibility and Establish NDC involving Design/PE (Digital Transformation) capabilities for TMMIN operations.,Automated Quality Reform monitoring for Prescriptive problem analysis with auto generate & reflect to Design/PE,In-house,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L5%20-%20Quality%20Reform?csf=1&web=1&e=mooqPQ
TMMIN,Quality Reform,5,Establish NDC involving Design/PE (Digital Transformation),Generative AI Quality (Market – Plant – PE – Supplier – Design),Red,No,TMMIN Generative AI Quality (Market – Plant – PE – Supplier – Design) Platform,Provides end-to-end visibility and Establish NDC involving Design/PE (Digital Transformation) capabilities for TMMIN operations.,Automated Quality Reform monitoring for Generative AI Quality (Market – Plant – PE – Supplier – Design),Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L5%20-%20Quality%20Reform?csf=1&web=1&e=mooqPQ
TMMIN,Quality Reform,5,Establish NDC involving Design/PE (Digital Transformation),"Component, Product, Process Digital Twin",Yellow,Yes,"TMMIN Component, Product, Process Digital Twin Platform",Provides end-to-end visibility and Establish NDC involving Design/PE (Digital Transformation) capabilities for TMMIN operations.,"Automated Quality Reform monitoring for Component, Product, Process Digital Twin",Vendor,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L5%20-%20Quality%20Reform?csf=1&web=1&e=mooqPQ
TMMIN,Quality Reform,4,Quality Build‑In at process points (Digitalization),Predictive Quality Advanced EQ Parameter & Heineken,Red,Yes,TMMIN Predictive Quality Advanced EQ Parameter & Heineken Platform,Provides end-to-end visibility and Quality Build‑In at process points (Digitalization) capabilities for TMMIN operations.,Automated Quality Reform monitoring for Predictive Quality Advanced EQ Parameter & Heineken,Vendor,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L4%20-%20Quality%20Reform?csf=1&web=1&e=HmzLLJ
TMMIN,Quality Reform,4,Quality Build‑In at process points (Digitalization),Automate abnormality feedback/indication (IT operation) with root cause identify,Red,Yes,TMMIN Automate abnormality feedback/indication (IT operation) with root cause identify Platform,Provides end-to-end visibility and Quality Build‑In at process points (Digitalization) capabilities for TMMIN operations.,Automated Quality Reform monitoring for Automate abnormality feedback/indication (IT operation) with root cause identify,Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L4%20-%20Quality%20Reform?csf=1&web=1&e=HmzLLJ
TMMIN,Quality Reform,4,Quality Build‑In at process points (Digitalization),"Real‑time defect information, alert & action",Red,Yes,"TMMIN Real‑time defect information, alert & action Platform",Provides end-to-end visibility and Quality Build‑In at process points (Digitalization) capabilities for TMMIN operations.,"Automated Quality Reform monitoring for Real‑time defect information, alert & action",In-house,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L4%20-%20Quality%20Reform?csf=1&web=1&e=HmzLLJ
TMMIN,Quality Reform,4,Quality Build‑In at process points (Digitalization),Predictive EQ quality negligence (Occur Prevention),Red,Yes,TMMIN Predictive EQ quality negligence (Occur Prevention) Platform,Provides end-to-end visibility and Quality Build‑In at process points (Digitalization) capabilities for TMMIN operations.,Automated Quality Reform monitoring for Predictive EQ quality negligence (Occur Prevention),In-house,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L4%20-%20Quality%20Reform?csf=1&web=1&e=HmzLLJ
TMMIN,Quality Reform,3,Quality data Integration (Digitalization),QMS System with data backbone,Green,Yes,TMMIN QMS System with data backbone Platform,Provides end-to-end visibility and Quality data Integration (Digitalization) capabilities for TMMIN operations.,Automated Quality Reform monitoring for QMS System with data backbone,Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L3%20-%20Quality%20Reform?csf=1&web=1&e=ktayKc
TMMIN,Quality Reform,3,Quality data Integration (Digitalization),Centralized & Real‑time EQ parameter IIOT,Green,Yes,TMMIN Centralized & Real‑time EQ parameter IIOT Platform,Provides end-to-end visibility and Quality data Integration (Digitalization) capabilities for TMMIN operations.,Automated Quality Reform monitoring for Centralized & Real‑time EQ parameter IIOT,In-house,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L3%20-%20Quality%20Reform?csf=1&web=1&e=ktayKc
TMMIN,Quality Reform,3,Quality data Integration (Digitalization),AI Camera Inspection (Auto judgement),Green,Yes,TMMIN AI Camera Inspection (Auto judgement) Platform,Provides end-to-end visibility and Quality data Integration (Digitalization) capabilities for TMMIN operations.,Automated Quality Reform monitoring for AI Camera Inspection (Auto judgement),In-house,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L3%20-%20Quality%20Reform?csf=1&web=1&e=ktayKc
TMMIN,Quality Reform,2,Digital Quality info (Digitization),Digital Camera Capturing Function (Capture & Final judge by human),Yellow,Yes,TMMIN Digital Camera Capturing Function (Capture & Final judge by human) Platform,Provides end-to-end visibility and Digital Quality info (Digitization) capabilities for TMMIN operations.,Automated Quality Reform monitoring for Digital Camera Capturing Function (Capture & Final judge by human),Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L2%20-%20Quality%20Reform?csf=1&web=1&e=wkIfPQ
TMMIN,Quality Reform,2,Digital Quality info (Digitization),Digital Digital Autograding,Green,Yes,TMMIN Digital Digital Autograding Platform,Provides end-to-end visibility and Digital Quality info (Digitization) capabilities for TMMIN operations.,Automated Quality Reform monitoring for Digital Digital Autograding,Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L2%20-%20Quality%20Reform?csf=1&web=1&e=wkIfPQ
TMMIN,Quality Reform,2,Digital Quality info (Digitization),Genba e‑board,Yellow,Yes,TMMIN Genba e‑board Platform,Provides end-to-end visibility and Digital Quality info (Digitization) capabilities for TMMIN operations.,Automated Quality Reform monitoring for Genba e‑board,Vendor,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L2%20-%20Quality%20Reform?csf=1&web=1&e=wkIfPQ
TMMIN,Quality Reform,2,Digital Quality info (Digitization),IoT QA Analytics,Yellow,Yes,TMMIN IoT QA Analytics Platform,Provides end-to-end visibility and Digital Quality info (Digitization) capabilities for TMMIN operations.,Automated Quality Reform monitoring for IoT QA Analytics,In-house,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L2%20-%20Quality%20Reform?csf=1&web=1&e=wkIfPQ
TMMIN,Quality Reform,2,Digital Quality info (Digitization),Digital TraI activities,Green,Yes,TMMIN Digital TraI activities Platform,Provides end-to-end visibility and Digital Quality info (Digitization) capabilities for TMMIN operations.,Automated Quality Reform monitoring for Digital TraI activities,In-house,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L2%20-%20Quality%20Reform?csf=1&web=1&e=wkIfPQ
